ccode,fips_code,wdi_code
2,US,USA
20,CA,CAN
31,BF,BHS
40,CU,CUB
41,HA,HTI
42,DR,DOM
51,JM,JAM
52,TD,TTO
53,BB,BRB
54,DO,DMA
55,GJ,GRD
56,ST,LCA
57,VC,VCT
58,AC,ATG
60,SC,KNA
70,MX,MEX
80,BH,BLZ
90,GT,GTM
91,HO,HND
92,ES,SLV
93,NU,NIC
94,CS,CRI
95,PM,PAN
100,CO,COL
101,VE,VEN
110,GY,GUY
115,NS,SUR
130,EC,ECU
135,PE,PER
140,BR,BRA
145,BL,BOL
150,PA,PRY
155,CI,CHL
160,AR,ARG
165,UY,URY
200,UK,GBR
205,EI,IRL
210,NL,NLD
211,BE,BEL
212,LU,LUX
220,FR,FRA
221,MN,MCO
223,LS,LIE
225,SZ,CHE
230,SP,ESP
232,AN,ADO
235,PO,PRT
255,GM,DEU
290,PL,POL
305,AU,AUT
310,HU,HUN
315,CZK,CZE
316,EZ,CZE
317,LO,SVK
325,IT,ITA
331,SM,SMR
338,MT,MLT
339,AL,ALB
343,MK,MKD
344,HR,HRV
345,YGL,YUG
346,BK,BIH
364,SVT,
347,YI,
349,SI,SVN
350,GR,GRC
352,CY,CYP
355,BU,BGR
359,MD,MDA
360,RO,ROM
365,RS,RUS
366,EN,EST
367,LG,LVA
368,LH,LTU
369,UP,UKR
370,BO,BLR
371,AM,ARM
372,GG,GEO
373,AJ,AZE
375,FI,FIN
380,SW,SWE
385,NO,NOR
390,DA,DNK
395,IC,ISL
402,CV,CPV
403,TP,STP
404,PU,GNB
411,EK,GNQ
420,GA,GMB
432,ML,MLI
433,SG,SEN
434,BN,BEN
435,MR,MRT
436,NG,NER
437,IV,CIV
438,GV,GIN
439,UV,BFA
450,LI,LBR
451,SL,SLE
452,GH,GHA
461,TO,TGO
471,CM,CMR
475,NI,NGA
481,GB,GAB
482,CT,CAF
483,CD,TCD
484,CF,COG
490,CG,ZAR
500,UG,UGA
501,KE,KEN
510,TZ,TZA
516,BY,BDI
517,RW,RWA
520,SO,SOM
522,DJ,DJI
529,ET,ETH
530,ETR,
531,ER,ERI
540,AO,AGO
541,MZ,MOZ
551,ZA,ZMB
552,ZI,ZWE
553,MI,MWI
560,SF,ZAF
565,WA,NAM
570,LT,LSO
571,BC,BWA
572,WZ,SWZ
580,MA,MDG
581,CN,COM
590,MP,MUS
591,SE,SYC
600,MO,MAR
615,AG,DZA
616,TS,TUN
620,LY,LBY
625,SU,SDN
630,IR,IRN
640,TU,TUR
645,IZ,IRQ
651,EG,EGY
652,SY,SYR
660,LE,LBN
663,JO,JOR
666,IS,ISR
670,SA,SAU
679,YM,YEM
690,KU,KWT
692,BA,BHR
694,QA,QAT
696,AE,ARE
698,MU,OMN
700,AF,AFG
701,TX,TKM
702,TI,TJK
703,KG,KGZ
704,UZ,UZB
705,KZ,KAZ
710,CH,CHN
712,MG,MNG
713,TW,TWN
731,KN,PRK
732,KS,KOR
740,JA,JPN
750,IN,IND
760,BT,BTN
769,PBD,
770,PK,PAK
771,BG,BGD
775,BM,MMR
780,CE,LKA
781,MV,MDV
790,NP,NPL
800,TH,THA
811,CB,KHM
812,LA,LAO
818,VM,VNM
820,MY,MYS
830,SN,SGP
835,BX,BRN
840,RP,PHL
850,ID,IDN
900,AS,AUS
910,PP,PNG
920,NZ,NZL
935,NH,VUT
940,BP,SLB
946,KR,KIR
947,TV,
950,FJ,FJI
955,TN,TON
970,NR,
983,RM,MHL
986,PS,PLW
987,FM,FSM
990,WS,WSM
,YI,YUG
